Jours,Hubs,Ordre,date_deblocage,disponible,durée,etat,livrable,objectif,resume,semaine,slug,status,titre,unlock_offset
Jour 6,21 Jours Chrono (https://www.notion.so/21-Jours-Chrono-2bc7fdb76b0080e39b7dc564dcb93dd2?pvs=21),6,18 octobre 2025,Yes,,,,,,1,j06,,Petit check-up express !,5
Jour 5,,,,No,,,,,,0,,,Arrête de tout refaire. Commence à construire des systèmes,4
"Jour 2 ",,,,No,,,,,,0,,,Transforme ton IA en ton meilleur critique,1
Jour 7,21 Jours Chrono (https://www.notion.so/21-Jours-Chrono-2bc7fdb76b0080e39b7dc564dcb93dd2?pvs=21),7,19 octobre 2025,Yes,,,,,,1,j07,,Lance un mini-projet IA,6
"Jour 3 ",,,,No,,,,,,0,,,Du trop-plein d’infos à la clarté en quelques minutes,2
Jour 4,,,,No,,,,,,0,,,Choisis le bon modèle d’IA pour la bonne mission,3
Jour 13,21 Jours Chrono (https://www.notion.so/21-Jours-Chrono-2bc7fdb76b0080e39b7dc564dcb93dd2?pvs=21),13,25 octobre 2025,Yes,,,,,,2,j13,,Check up express #2,12
Jour 29,21 Jours Chrono (https://www.notion.so/21-Jours-Chrono-2bc7fdb76b0080e39b7dc564dcb93dd2?pvs=21),29,10 novembre 2025,Yes,,,,,,5,j29,,,28
Jour 14,21 Jours Chrono (https://www.notion.so/21-Jours-Chrono-2bc7fdb76b0080e39b7dc564dcb93dd2?pvs=21),14,26 octobre 2025,Yes,,,,,,2,j14,,Partage avec la communauté,13
Jour 30,21 Jours Chrono (https://www.notion.so/21-Jours-Chrono-2bc7fdb76b0080e39b7dc564dcb93dd2?pvs=21),30,11 novembre 2025,Yes,,,,,,5,j30,,,29
Jour 19,21 Jours Chrono (https://www.notion.so/21-Jours-Chrono-2bc7fdb76b0080e39b7dc564dcb93dd2?pvs=21),19,31 octobre 2025,Yes,,,,,,3,j19,,Ce que Pixar peut t’apprendre sur la création d’agents IA,18
Jour 11,21 Jours Chrono (https://www.notion.so/21-Jours-Chrono-2bc7fdb76b0080e39b7dc564dcb93dd2?pvs=21),11,23 octobre 2025,Yes,,,,,,2,j11,,Des données brouillonnes à des insights clairs,10
Jour 8,21 Jours Chrono (https://www.notion.so/21-Jours-Chrono-2bc7fdb76b0080e39b7dc564dcb93dd2?pvs=21),8,20 octobre 2025,Yes,,,,,,2,j08,,Lance ta première app propulsée par l’IA,7
Jour 15,21 Jours Chrono (https://www.notion.so/21-Jours-Chrono-2bc7fdb76b0080e39b7dc564dcb93dd2?pvs=21),15,27 octobre 2025,Yes,,,,,,3,j15,,Ton premier “employé IA”,14
Jour 18,21 Jours Chrono (https://www.notion.so/21-Jours-Chrono-2bc7fdb76b0080e39b7dc564dcb93dd2?pvs=21),18,30 octobre 2025,Yes,,,,,,3,j18,,Ton premier agent IA opérationnel aujourd’hui,17
Jour 26,21 Jours Chrono (https://www.notion.so/21-Jours-Chrono-2bc7fdb76b0080e39b7dc564dcb93dd2?pvs=21),26,7 novembre 2025,Yes,,,,,,4,j26,,,25
