Titre,Last edited time,Semaine,autonumber,check,contenu,jour,ordre,slug,titre,type
2_etape 2,2 décembre 2025 23:08,Semaine 1,-3,No,,[Gratuit]_Jour 2 (https://www.notion.so/Gratuit-_Jour-2-2bd7fdb76b00800498ebdf91f4c4d6c9?pvs=21),3,,"NotebookLM, la suite (oui, c’est vraiment aussi puissant)",step
6_quizz1,2 décembre 2025 23:00,,?-2,No,,,2,,Question 1,step
2_etape1,2 décembre 2025 23:08,Semaine 1,-2,No,,[Gratuit]_Jour 2 (https://www.notion.so/Gratuit-_Jour-2-2bd7fdb76b00800498ebdf91f4c4d6c9?pvs=21),2,,Apprendre peut redevenir fun,step
4_Intro,2 décembre 2025 23:07,Semaine 1,-1,No,,[Gratuit]_Jour 4 (https://www.notion.so/Gratuit-_Jour-4-2bd7fdb76b0080a89529f7e757c49c8b?pvs=21),1,,Prêt pour le jour 4 ?,Intro
6_quizz4,2 décembre 2025 23:00,,?-5,No,,,5,,Question 4,step
2_etape1,2 décembre 2025 23:00,,?-3,No,,,3,,« Mais je viens de le dire ! »,step
4_etape2,2 décembre 2025 23:08,Semaine 1,-3,No,,[Gratuit]_Jour 4 (https://www.notion.so/Gratuit-_Jour-4-2bd7fdb76b0080a89529f7e757c49c8b?pvs=21),3,,Prépare ton assistant,step
2_etape2,2 décembre 2025 23:00,,?-4,No,,,4,,Roaste et affine ton idée,step
4_etape3,2 décembre 2025 23:08,Semaine 1,-4,No,,[Gratuit]_Jour 4 (https://www.notion.so/Gratuit-_Jour-4-2bd7fdb76b0080a89529f7e757c49c8b?pvs=21),4,,"Construis ton propre assistant IA ",step
2_Intro,2 décembre 2025 23:08,Semaine 1,-1,No,,[Gratuit]_Jour 2 (https://www.notion.so/Gratuit-_Jour-2-2bd7fdb76b00800498ebdf91f4c4d6c9?pvs=21),1,,Prêt pour le jour 2 ?,Intro
4_etape1,2 décembre 2025 23:00,,?-2,No,,,2,,Tu passes plus de temps à corriger qu’à créer ?,step
